SIT 53904	
YUM 43806	
CPR 50434	
AGS 102541	
SPS 32180	
SPI 11436	
SPN 17968	
BWI 3230760	
WRG 28287	
Origin 240	
LAN 128385	
JNU 167764	
SNA 1544797	
MAZ 239	
LAX 7723596	
MAF 294809	
LAW 32671	
LAR 2	
LAS 4962958	
GUC 14602	
CMI 52492	
CMH 1432186	
ALB 551504	
GUM 30462	
CMX 1059	
DTW 5636622	
BET 36840	
LSE 54151	
VLD 14346	
TTN 3358	
GRR 455855	
DSM 419142	
BLI 13662	
GRK 43038	
GRB 163187	
CBM 1	
INL 580	
HLN 50465	
OKC 909127	
IND 1559858	
GLH 4	
SMX 22689	
AKN 11386	
SMF 1533796	
LFT 73515	
GGG 17443	
MDW 2220048	
MDT 317568	
DFW 10799303	
FMN 8	
AUS 1511782	
ALO 2318	
SBP 78583	
LMT 542	
PUB 12853	
SBA 228312	
ORH 26870	
ORF 813873	
ORD 12449354	
SBN 125917	
KOA 147653	
CAK 154699	
TOL 111879	
ERI 55521	
CAE 321310	
VPS 108565	
ONT 1465005	
ABE 236094	
STL 5125336	
ABI 39323	
STT 112655	
ABQ 1429399	
KTN 97218	
RDR 92	
ABY 15678	
STX 51473	
BHM 766051	
PNS 297986	
RST 113534	
OGD 25	
OGG 314415	
RSW 755125	
JFK 2512555	
FNT 107343	
MIA 2734045	
MIB 178	
LIH 142206	
LIT 621755	
EGE 46349	
SAN 2908518	
LBB 326121	
RAP 101794	
LBF 1	
SAV 351620	
SAT 1523776	
CHA 135634	
MRY 128873	
JAX 977750	
BFI 2	
BFL 70886	
JAN 359081	
HRL 218786	
CHS 422859	
EYW 31607	
JAC 87133	
IPL 11087	
RHI 782	
SFO 5171023	
LNK 122764	
DBQ 18654	
APF 7507	
TYR 37284	
TYS 381176	
KSM 882	
HDN 36664	
CEC 12340	
SYR 634850	
BMI 43808	
IDA 68971	
GCC 1492	
DLG 9273	
SHV 244147	
CSG 36065	
DLH 62742	
OXR 18538	
GCN 11215	
RFD 3142	
LNY 579	
BTV 210310	
BTR 284860	
MGM 102334	
BTM 21328	
WYS 3249	
ATL 11540422	
ISP 293445	
ATW 47464	
ISO 11122	
PMD 6579	
PVU 13	
PVD 828296	
SEA 3736761	
CLL 36852	
ASE 27272	
GTF 115689	
PDX 1989680	
CLD 27760	
CLE 2707070	
EUG 139368	
YAP 1299	
GTR 14858	
YAK 28226	
CLT 4824711	
TLH 194399	
DUT 11589	
ITO 68303	
OMA 765624	
OME 40251	
HVN 14260	
TUP 3954	
TUS 782365	
TUL 885122	
EKO 24789	
SWF 110161	
BPT 16911	
CYS 14	
BIL 174710	
ELM 45783	
EVV 91423	
UCA 8816	
BIS 91910	
MLB 127450	
DHN 20700	
MLI 144477	
VCT 4879	
MLU 98078	
CWA 13839	
SLE 1764	
SLC 3815114	
OTH 543	
MCN 14403	
MCI 2207283	
LGB 296327	
LGA 4337167	
GFK 45334	
OTZ 39072	
CKB 14	
BGM 51033	
BGR 102965	
DCA 3464017	
HSV 303223	
MQT 10847	
RIC 676579	
IAH 5480734	
IAD 2551658	
OAJ 20971	
GPT 93361	
BNA 2222695	
ITH 34926	
PHL 4079651	
PHF 84478	
BRW 24669	
PHX 6585534	
CRP 231968	
CRW 116938	
AEX 33813	
SKA 1	
MFE 129979	
BUR 1094897	
MFR 105530	
GEG 496691	
BUF 926148	
YKM 3377	
MHT 451738	
EFD 7279	
RNO 961812	
ANC 743458	
PSC 73760	
ANI 895	
PSE 5522	
MOB 228138	
PSP 278348	
LCH 15793	
MOD 23336	
ILG 1564	
COS 512190	
ILE 23192	
FSD 195130	
ILM 109043	
FSM 33784	
COD 13177	
AZO 122921	
TVL 6139	
TVC 65407	
SRQ 319259	
CDC 7397	
LYH 17856	
BJI 404	
CDV 28473	
PLN 1551	
MKG 788	
MKE 842613	
MKC 3	
MKK 577	
IYK 11882	
PSG 28254	
CVG 3684615	
MOT 51847	
RCA 1	
BFF 3	
FAY 84823	
TPA 2484373	
FAR 123894	
FAT 259790	
SOP 636	
FAI 187332	
MBS 143550	
MTJ 32869	
MTH 255	
HPN 236735	
CHO 37541	
Dest 240	
SDF 872530	
PWM 306058	
GSP 382481	
GST 3571	
BOS 4311116	
OAK 2189294	
FWA 149263	
CCR 8145	
BOI 449542	
DRO 37500	
GSO 736449	
PIH 21328	
HKY 1344	
PIA 83157	
MYR 157749	
PIE 12574	
PIR 8	
PIT 3936220	
BQN 16333	
BQK 13697	
HNL 974191	
GJT 66766	
DET 52213	
FLL 1905230	
DEN 6273787	
BZN 135244	
FLG 33154	
SCK 6492	
VIS 3975	
AMA 247873	
ROA 133819	
ROC 699507	
SCC 21799	
ROP 3877	
ROR 4415	
ROW 2049	
TRI 93103	
EWN 2549	
BDL 1221541	
EWR 5136971	
PBI 1005986	
LRD 33116	
GNV 69124	
AVP 89470	
AVL 109406	
HTS 33393	
ACK 3633	
SUN 35773	
XNA 166467	
ACV 45521	
ACT 38339	
ACY 17267	
SUX 34435	
FCA 63123	
TEX 1310	
RDU 1947969	
MCO 3721849	
ADQ 19362	
SJT 30230	
SJU 868685	
RDD 23109	
RDM 39431	
SJC 2079784	
ELP 969650	
ADK 1148	
MEM 2271709	
MEI 12383	
BRO 28597	
LEX 249460	
CIC 14105	
TWF 24235	
FLO 9888	
MSY 1793228	
CID 244688	
LWS 5273	
MSP 5199213	
MSO 106435	
MSN 280252	
LWB 3372	
TXK 21497	
DAB 165764	
RKS 1194	
DAL 1801225	
SGU 37173	
EAU 3646	
DAY 720780	
SGF 156574	
HOU 2277584	
ICT 398163	
PFN 49960	
SCE 12908	
HHH 3547	
